molecule_chembl_id,Smiles
CHEMBL1897292,CC(C)(C)c1n[nH]c(=NS(C)(=O)=O)s1
CHEMBL1875873,CC(C)(C)NC(=O)CSc1nncn1-c1ccccc1
CHEMBL1760507,COC(=O)c1ccc(C=NNC(=O)c2ccc3ccccc3c2)cc1
CHEMBL4293379,Cc1cccc(C)c1N1CCN(CCOc2ccc3ccccc3c2)CC1
CHEMBL1874538,O=C(CC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](O)[C@@H]1O)NCc1ccc2c(c1)OCO2
CHEMBL1882802,N=c1nc2ccc(F)cc2n[nH]1
CHEMBL1880352,CCC(=NCc1cccnc1)c1c(O)[nH]c(=O)n(-c2ccc(Cl)cc2)c1=O
CHEMBL1890467,Cc1ccc2ccccc2[n+]1CCCCI
CHEMBL211958,COc1cc(C=CC(=O)CC(C)=O)ccc1O
CHEMBL373827,CSc1nc(-c2cccc(-c3ccc4[nH]ccc4c3)c2)[nH]c(=N)n1
CHEMBL1869899,COc1cccc(-c2c[nH]c(C(O)c3ccccc3OC)n2)c1
CHEMBL205482,Nc1c(N2CCCCCC2)[nH]c(C2CC2)nc1=NC1CC1
CHEMBL350863,CCCCS(=O)(=O)N1CCC[C@H]2CN3CCc4ccccc4[C@@H]3C[C@@H]21
CHEMBL542914,CCN(CC)CCOC(=O)C1(c2ccc(N3CCCC3)cc2)CCCC1
CHEMBL462291,CCCCCCCCOc1cccc(C(N)=O)c1
CHEMBL4277956,O=c1[nH]c(SCc2ccc(F)cc2)nc2ccccc12
CHEMBL120878,COc1ccccc1C(=O)NCCC1CCN(CC2COc3ccccc3O2)CC1
CHEMBL389632,C[C@@H]1C2=C(C[C@@H]1O)[C@@H](C)[C@H](O)C[C@@H](C(C)(C)O)C2
CHEMBL1875251,O=C(Cc1ccccc1)NS(=O)(=O)c1ccc(N=NN2CCOCC2)cc1
CHEMBL1896869,Oc1cc(C(O)NCCOc2ccccc2F)cn1Cc1ccccc1
CHEMBL229940,CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1CCCN1CCN(c2ccccc2)CC1
CHEMBL3652333,CN(c1ncnc2[nH]ccc12)[C@H]1CC[C@H](CS(=O)(=O)N2CCC[C@H](CO)C2)CC1
CHEMBL1767211,CN(C)c1ccc(/C=C/C(=O)/C=C/c2ccccc2)cc1
CHEMBL1885851,CN(C(=O)c1ccncc1)C1CCS(=O)(=O)C1
CHEMBL1889397,COc1ccccc1-c1nc(-c2ccc(C(=O)O)cc2)no1
CHEMBL1507591,CCOP(=O)(OCC)C(NC(=O)Nc1ccc(C)cc1)C(N)=O
CHEMBL1307631,CC(C)NS(=O)(=O)c1ccc(NC(=O)c2cccnc2)cc1
CHEMBL1303100,Cc1ccc(N(CC(O)CN2CCCCC2)S(=O)(=O)c2ccccc2[N+](=O)[O-])cc1
CHEMBL39864,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCCC(C(N)=O)C3)nc21
CHEMBL1564262,CCCCn1c(N)c(N(CCOC)C(=O)c2ccc(NC3CC3)c([N+](=O)[O-])c2)c(=O)[nH]c1=O
CHEMBL372747,c1cncc(-c2ccc3cccc4c3c2CC4)c1
CHEMBL1414860,COc1ccc(S(=O)(=O)N2CCN(C(=O)NC3CCCCC3)CC2)cc1OC
CHEMBL3664837,CC(C)CC(=O)N[C@H]1CC[C@H](CCN2CCC(c3cccc4c3OCO4)CC2)CC1
CHEMBL369024,CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(CSC)NC(=O)CS
CHEMBL1277446,c1ccc(-c2cc3c(ncn4nnnc34)n2-c2ccccc2)cc1
CHEMBL199930,O=C1/C(=C/c2ccc(F)c(F)c2F)SC(=S)N1NS(=O)(=O)c1ccccc1
CHEMBL1717292,O=C(CSc1nnc(Cc2ccccc2)o1)c1ccc(F)cc1
CHEMBL10880,O=C1CC2(CCCC2)CC(=O)N1OCCCN1CCN(c2ccccc2Cl)CC1
CHEMBL1882217,CCOc1ccc(S(=O)(=O)NN=C(C)c2cccnc2)cc1
CHEMBL1869061,O=C(NCCn1cccn1)C1CCC(=O)N(CCc2ccccc2)C1
CHEMBL208067,Cc1ccccc1CN(CC(C)C)C1CCNCC1
CHEMBL207915,COc1ccccc1CN(CC(C)C)C1CCNCC1
CHEMBL4204796,O=C(NCCN1CCN(c2ccccc2Cl)CC1)c1ccccn1
CHEMBL2113715,NS(=O)(=O)c1cc(C(=O)NC(C(=O)O)c2ccccc2)ccc1Cl
CHEMBL2398532,COc1ccc(-c2cn(CCc3ccc(S(N)(=O)=O)cc3)nn2)cc1
CHEMBL1884952,CC(C)=CCn1c2ccc(NC(=O)Nc3cccnc3)cc2c(=O)n1C
CHEMBL107372,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2ccc(=N)[nH]c21
CHEMBL425040,O=C(NCCN1CCc2cc(F)ccc21)C(CC1CCCCC1)N=c1[nH]c2ccccc2o1
CHEMBL1869885,CN(C)Cc1c(O)ccc2c(=O)c(-c3ccccc3)c(C(F)(F)F)oc12
CHEMBL1578283,CC(Oc1ccc(Cl)cc1Cl)C(=O)NCCN1CCOCC1
CHEMBL379463,COc1nccc(-c2c(-c3ccc(F)cc3)nc3cc(CN(C)C)ccn23)n1
CHEMBL126438,c1ccc(OCCCN2CCc3[nH]c4ccccc4c3C2)cc1
CHEMBL1956116,C[C@](CCc1ccc(-c2ccccc2)cc1)(C(O)=NO)S(C)(=O)=O
CHEMBL415061,O=C(Nc1ccc2[nH]ncc2c1)C1CCCN(Cc2ccccc2)C1
CHEMBL201224,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCNC(=O)C=Cc1ccc(O)c(O)c1)O2
CHEMBL2138741,CCCn1ccc2c(OCC(=O)NCc3ccc(C)cc3)cccc2c1=O
CHEMBL340544,N#CC(c1cccnc1)C1CCN(C(=O)C(c2ccccc2)c2ccccc2)CC1
CHEMBL1446229,COc1cccc(NC(=O)COC(=O)COc2cccc3c2OC(C)(C)C3)c1
CHEMBL217846,O=c1cc(CCc2ccccc2)[nH]c(SCCCCCCC(O)=NO)n1
CHEMBL4162343,CCCN[C@H](C)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
CHEMBL4175946,CCc1ccc(-c2cn([C@H](C)[C@](O)(Cn3cncn3)c3ccc(F)cc3F)nn2)cc1
